"UserID","Username","GlobalRank","PP","RME","RMERanking","Location"
16428321,"Laayte",204381,3441.8,1448.26795470119,8660,"France"
15860861,"TommeX",4354,9954.87,1448.2461745583,8661,"Estonia"
5967131,"Totoriott",24722,7040.61,1448.21630284916,8662,"China"
14567896,"kevio",53299,5783.56,1448.18883007135,8663,"Canada"
27673654,"AltoClef",126191,4341.46,1448.18676705047,8664,"Mauritius"
7393316,"Logadex",26772,6911.58,1448.16162539722,8665,"Peru"
16967010,"lurrzy",4367,9949.36,1448.13097554582,8666,"Russian Federation"
19490161,"Frostiyph",23242,7143.18,1448.11580367014,8667,"Germany"
13958536,"ExodiAx",463071,1959.78,1448.08098189764,8668,"Peru"
15550661,"ponggos",47850,5962.41,1447.99009132625,8669,"Singapore"
7610340,"Palmby",55772,5708.45,1447.98049263109,8670,"Denmark"
29333698,"Lord Protein",113284,4531.34,1447.96543147708,8671,"United States"
11581514,"Miyakobestgirl",16813,7671.01,1447.96029997307,8672,"United States"
14239645,"doom2wrld7",4489,9898.29,1447.92660179438,8673,"Hungary"
18835354,"stre5s",16339,7717.57,1447.87548413225,8674,"Chile"
8515387,"Jyrypekka",292599,2776.78,1447.87422021869,8675,"Finland"
11796581,"Ozai",18848,7481.72,1447.86426023565,8676,"United States"
6616435,"Zig_zaC",64589,5468.25,1447.83712140769,8677,"Azerbaijan"
21129531,"JeloGelo",83375,5048.13,1447.82314239579,8678,"Philippines"
8911619,"KobeNanami",33030,6567.56,1447.81428337261,8679,"China"
29605362,"Siinamahiru",48864,5927.7,1447.80196433518,8680,"Japan"
25833705,"JUST_YURI",214611,3351.98,1447.78055628178,8681,"Philippines"
13606756,"RavGX",12102,8223.18,1447.75475815179,8682,"Indonesia"
17482520,"Yasi6n",1905052,275.873,1447.73878556535,8683,"Türkiye"
22910322,"waswaswaswas",11732,8273.4,1447.71993285481,8684,"Brazil"
20743903,"sefuuz",36928,6384.6,1447.71991712263,8685,"Vietnam"
20511373,"pauldeegee",4672,9824.81,1447.6931959605,8686,"Poland"
21107008,"yuanzhikong1",69825,5342.05,1447.69291252378,8687,"China"
9390208,"Satte",9597,8591.44,1447.65239322143,8688,"Belarus"
7140258,"mahoru_kano",21436,7271.42,1447.61638163109,8689,"China"
21657933,"adhwaadib",129643,4291.94,1447.59174722939,8690,"Malaysia"
14214729,"xSmesHx",12616,8157.08,1447.58472810717,8691,"Russian Federation"
13596160,"gheanfoil",615,13467.4,1447.55555902263,8692,"Türkiye"
2465142,"Sakura Kyouko",17394,7613.36,1447.54168954225,8693,"China"
12323971,"milim",2253,11086.1,1447.53166911727,8694,"Brazil"
8347022,"Gsafas",53593,5773.64,1447.53008194199,8695,"Ukraine"
19142610,"Tazz",14140,7965.37,1447.52588018508,8696,"Australia"
18445837,"uemi",141810,4126.5,1447.52310742058,8697,"Brazil"
4026124,"Infinitstart",38324,6322.14,1447.50978363689,8698,"Thailand"
9836316,"-Danon",919,12698.2,1447.50604031281,8699,"Russian Federation"
